Country,pop_basic_san_tot%_2017,pop_basic_san_urb%_2017,pop_basic_san_rur%_2017,pop_safe_man_san_tot%_2017,pop_safe_man_san_urb%_2017,pop_safe_man_san_rur%_2017
Afghanistan,43,62,37,,,
Albania,98,98,97,40,40,39
Algeria,88,90,82,18,16,21
Andorra,100,100,100,100,100,100
Angola,50,64,23,,,
Antigua and Barbuda,88,,,,,
Argentina,,96,,,,
Armenia,94,100,83,48,45,
Australia,100,,,76,,
Austria,100,100,100,97,100,92
Azerbaijan,93,96,88,,92,
Bahamas,95,,,,,
Bahrain,100,,,96,,
Bangladesh,48,51,47,,,32
Barbados,97,,,,,
Belarus,98,98,96,81,82,76
Belgium,99,99,99,97,,
Belize,88,93,83,,,
Benin,16,27,8,,,
Bhutan,69,73,67,,,
Bolivia (Plurinational State of),61,72,36,23,25,
Bosnia and Herzegovina,95,99,92,22,11,
Botswana,77,89,51,,,
Brazil,88,93,60,49,52,
Brunei Darussalam,,,,,,
Bulgaria,86,87,84,64,73,
Burkina Faso,19,39,11,,,
Burundi,46,42,46,,,
Cabo Verde,74,80,62,,,
Cambodia,59,96,48,,,
Cameroon,39,56,18,,,
Canada,99,99,99,82,82,82
Central African Republic,,,,,,
Chad,8,30,2,,,
Chile,100,100,100,77,81,
China,85,91,76,72,84,56
Colombia,90,93,76,17,16,
Comoros,36,45,32,,,
Congo,20,27,6,,,
Cook Islands,98,,,,,
Costa Rica,98,98,96,,,
C̫te d'Ivoire,32,46,18,,,
Croatia,97,98,95,58,64,
Cuba,93,92,95,44,42,
Cyprus,99,100,98,75,86,
Czechia,99,99,99,94,98,85
Democratic People's Republic of Korea,83,90,72,,,5
Democratic Republic of the Congo,20,23,18,,,
Denmark,100,100,100,95,,
Djibouti,64,76,19,36,41,19
Dominica,,,,,,
Dominican Republic,84,86,74,,,
Ecuador,88,91,83,42,33,57
Egypt,94,98,91,61,71,
El Salvador,87,91,79,,,
Equatorial Guinea,66,70,57,,,
Eritrea,,,,,,
Estonia,99,99,99,97,99,94
Eswatini,58,51,61,,,
Ethiopia,7,20,4,,,4
Fiji,95,95,95,,,
Finland,99,99,99,99,99,
France,99,99,99,88,,
Gabon,47,49,37,,,
Gambia,39,45,30,,,
Georgia,90,95,83,27,16,
Germany,99,99,99,97,99,92
Ghana,18,24,12,,,
Greece,99,99,98,90,97,
Grenada,91,,,,,
Guatemala,65,79,51,,,
Guinea,23,34,17,,,
Guinea-Bissau,21,37,8,,,
Guyana,86,92,84,,,
Haiti,35,44,24,,,
Honduras,81,85,76,,35,
Hungary,98,98,99,96,95,98
Iceland,99,99,100,82,,
India,60,72,53,,,39
Indonesia,73,80,65,,,
Iran (Islamic Republic of),88,92,79,,,
Iraq,94,97,88,41,39,45
Ireland,91,89,94,82,88,72
Israel,100,100,100,94,94,92
Italy,99,99,99,96,96,96
Jamaica,87,86,90,,,
Japan,100,,,99,,
Jordan,97,97,96,81,83,
Kazakhstan,98,97,99,,91,
Kenya,29,35,27,,,
Kiribati,48,,,,,
Kuwait,100,,,100,,
Kyrgyzstan,97,92,99,,,
Lao People's Democratic Republic,74,95,64,58,62,56
Latvia,92,96,83,86,90,77
Lebanon,98,,,22,,
Lesotho,43,43,43,,,
Liberia,17,28,6,,,
Libya,100,,,26,,
Lithuania,93,97,85,91,95,83
Luxembourg,98,97,99,97,97,89
Madagascar,11,18,6,,,
Malawi,26,34,25,,,
Malaysia,100,100,99,89,,
Maldives,99,99,99,,,
Mali,39,53,29,19,9,26
Malta,100,100,100,93,93,93
Marshall Islands,83,91,59,,,
Mauritania,48,75,19,,,
Mauritius,96,96,95,,,
Mexico,91,93,82,50,52,
Micronesia (Federated States of),88,,,,,
Monaco,100,100,,100,100,
Mongolia,58,66,42,,,
Montenegro,98,100,94,,30,
Morocco,89,94,79,39,40,
Mozambique,29,52,17,,,16
Myanmar,64,76,59,,,
Namibia,35,51,18,,,
Nauru,66,66,,,,
Nepal,62,67,61,,,
Netherlands,98,98,100,97,97,97
New Zealand,100,100,100,89,,
Nicaragua,74,84,62,,,
Niger,14,44,8,10,23,7
Nigeria,39,48,31,27,30,24
Niue,97,,,,,
Norway,98,98,98,76,,
Oman,100,100,100,,,
Pakistan,60,77,50,,,
Palau,100,100,100,,,
Panama,83,92,65,,,
Papua New Guinea,13,48,8,,,
Paraguay,90,94,83,58,54,66
Peru,74,80,56,43,51,
Philippines,77,78,75,52,54,50
Poland,99,99,99,93,,
Portugal,100,100,100,85,93,
Qatar,100,,,96,,
Republic of Korea,100,,,100,,
Republic of Moldova,76,86,69,,78,
Republic of North Macedonia,99,100,98,17,8,
Romania,84,95,71,77,,
Russian Federation,90,95,78,61,63,55
Rwanda,67,52,70,,,
Saint Kitts and Nevis,,,,,,
Saint Lucia,88,78,91,,,
Saint Vincent and the Grenadines,87,,,,,
Samoa,98,98,98,48,38,51
San Marino,100,,,77,,
Sao Tome and Principe,43,48,31,,,
Saudi Arabia,100,,,78,,
Senegal,51,65,40,21,22,21
Serbia,98,100,95,25,23,
Seychelles,100,,,,,
Sierra Leone,16,26,9,13,20,8
Singapore,100,100,,100,100,
Slovakia,98,99,97,83,88,76
Slovenia,99,99,99,83,,
Solomon Islands,34,78,20,,,
Somalia,38,61,20,,,
South Africa,76,76,75,,,
South Sudan,11,37,5,,,
Spain,100,100,100,97,97,97
Sri Lanka,96,95,96,,,
Sudan,37,60,24,,,
Suriname,84,89,75,,,
Sweden,99,99,100,93,94,88
Switzerland,100,100,100,100,100,99
Syrian Arab Republic,91,91,91,,,
Tajikistan,97,95,98,,,
Thailand,99,99,98,,,
Timor-Leste,54,76,44,,,
Togo,16,29,7,,,
Tonga,93,97,92,,,
Trinidad and Tobago,93,,,,,
Tunisia,91,95,81,78,88,
Turkey,97,100,90,65,70,
Turkmenistan,99,98,99,,,
Tuvalu,84,83,86,6,4,10
Uganda,18,26,16,,,
Ukraine,96,97,94,68,66,
United Arab Emirates,99,,,96,,
United Kingdom of Great Britain and Northern Ireland,99,99,99,98,99,92
United Republic of Tanzania,30,43,24,25,31,22
United States of America,100,100,100,90,95,
Uruguay,97,97,97,,,
Uzbekistan,100,100,100,,,
Vanuatu,34,48,29,,,
Venezuela (Bolivarian Republic of),94,,,24,,
Viet Nam,84,94,78,,,
Yemen,59,88,43,,67,
Zambia,26,36,19,,,
Zimbabwe,36,46,31,,16,