Country,Year,med_path_lab_sci#,med_path_lab_tech#
Algeria,2018,136,15238
Angola,2004,,1376
Antigua and Barbuda,2007,,8
Argentina,2004,19629,
Bahamas,2011,,104
Bahrain,2015,,295
Bangladesh,2018,26121,
Barbados,2005,,2
Benin,2018,668,
Bhutan,2018,309,71
Bolivia (Plurinational State of),2011,,562
Botswana,2009,,317
Brazil,2017,,43744
Brunei Darussalam,2015,113,27
Burkina Faso,2017,699,
Burundi,2017,1073,
Cambodia,2014,554,
Cameroon,2004,,1793
Central African Republic,2009,,40
Chad,2004,111,195
Chile,2009,29,
China,2010,,230572
Comoros,2012,,86
Congo,2007,280,54
Cook Islands,2014,10,
Costa Rica,2016,9,
C̫te d'Ivoire,2014,2380,1600
Cuba,2014,,6015
Cyprus,2008,22,312
Democratic Republic of the Congo,2009,,2126
Djibouti,2005,3,56
Ecuador,2015,,4140
Egypt,2018,15234,2349
El Salvador,2016,,2049
Equatorial Guinea,2004,3,80
Eritrea,2004,17,183
Eswatini,2011,,41
Ethiopia,2009,,2823
Fiji,2015,177,
Finland,2002,,6822
Gabon,2017,,442
Gambia,2015,11,141
Ghana,2013,,3987
Greece,2011,,6190
Grenada,2003,,13
Guatemala,2018,127,399
Guinea,2016,,209
Guinea-Bissau,2016,158,16
Guyana,2018,,21
Haiti,2018,,1731
Iceland,2009,299,
India,2018,500000,
Indonesia,2018,164,25215
Iran (Islamic Republic of),2006,,7930
Iraq,2018,,85
Jamaica,2016,,130
Jordan,2004,2000,2350
Kenya,2004,6000,
Kiribati,2013,,20
Lao People's Democratic Republic,2014,636,
Lebanon,2005,535,
Lesotho,2003,,73
Liberia,2010,,376
Malawi,2016,,397
Malaysia,2015,,6324
Maldives,2018,241,2
Mali,2010,28,398
Marshall Islands,2012,,19
Mauritania,2018,12,
Mauritius,2011,1,361
Mexico,2010,,21674
Micronesia (Federated States of),2008,,33
Mongolia,2016,,435
Morocco,2017,595,890
Mozambique,2017,,1958
Myanmar,2018,2443,1562
Namibia,2004,,160
Nauru,2015,4,3
Nepal,2018,26923,
New Zealand,2013,3232,
Nicaragua,2018,,1270
Niger,2009,369,
Nigeria,2018,26677,29246
Niue,2008,,1
Oman,2018,2474,
Pakistan,2015,,37613
Palau,1998,,13
Paraguay,2012,1395,
Peru,2012,1512,
Qatar,2006,504,
Republic of Korea,2004,,35220
Republic of Moldova,2015,,17776
Romania,2011,,460
Rwanda,2017,,1990
Saint Vincent and the Grenadines,2004,,13
Samoa,2014,37,
Sao Tome and Principe,2004,,44
Saudi Arabia,2018,12052,10709
Senegal,2017,37,
Serbia,2016,,5652
Seychelles,2004,,46
Sierra Leone,2011,183,78
Slovakia,2015,,3147
Solomon Islands,2013,,42
Somalia,2005,,149
South Africa,2015,149,453
Sri Lanka,2018,,1850
Sudan,2004,35,2416
Thailand,2016,,2442
Timor-Leste,2011,,132
Togo,2018,460,183
Tonga,2013,,25
Trinidad and Tobago,2018,348,
Tunisia,2004,358,1942
Uganda,2015,,2447
United Republic of Tanzania,2014,93,2508
United States of America,2010,552276,
Uruguay,2016,,1420
Vanuatu,2012,59,
Yemen,2010,1113,1809
Zambia,2018,441,
Zimbabwe,2018,644,1126