Country Name,Country Code,SP.POP.1564.TO.ZS_2018
Aruba,ABW,68.64660589
Afghanistan,AFG,54.32489755
Angola,AGO,50.97470164
Albania,ALB,68.58239036
Andorra,AND,
Arab World,ARB,62.6616874
United Arab Emirates,ARE,84.31148965
Argentina,ARG,64.12127729
Armenia,ARM,68.11276042
American Samoa,ASM,
Antigua and Barbuda,ATG,69.11908273
Australia,AUS,65.15290773
Austria,AUT,66.70048591
Azerbaijan,AZE,70.43524739
Burundi,BDI,52.25137879
Belgium,BEL,64.1558335
Benin,BEN,54.29871231
Burkina Faso,BFA,52.64493785
Bangladesh,BGD,67.13558688
Bulgaria,BGR,64.38262025
Bahrain,BHR,78.319356
"Bahamas, The",BHS,70.25752197
Bosnia and Herzegovina,BIH,68.76346488
Belarus,BLR,68.28890878
Belize,BLZ,64.98377585
Bermuda,BMU,
Bolivia,BOL,61.73450486
Brazil,BRA,69.74309026
Barbados,BRB,66.85435789
Brunei Darussalam,BRN,72.10039094
Bhutan,BTN,68.22563455
Botswana,BWA,61.66317964
Central African Republic,CAF,52.87990574
Canada,CAN,66.89774245
Central Europe and the Baltics,CEB,66.40423937
Switzerland,CHE,66.46582867
Channel Islands,CHI,67.51417897
Chile,CHL,68.71629587
China,CHN,71.20211371
Cote d'Ivoire,CIV,55.20408485
Cameroon,CMR,54.6395428
"Congo, Dem. Rep.",COD,50.81651729
"Congo, Rep.",COG,55.554778
Colombia,COL,68.444057
Comoros,COM,57.45456686
Cabo Verde,CPV,66.6129059
Costa Rica,CRI,69.12540822
Caribbean small states,CSS,67.490417
Cuba,CUB,68.60254959
Curacao,CUW,64.43115906
Cayman Islands,CYM,
Cyprus,CYP,69.49309027
Czech Republic,CZE,64.99251759
Germany,DEU,64.9170079
Djibouti,DJI,65.89830466
Dominica,DMA,
Denmark,DNK,63.7287848
Dominican Republic,DOM,64.94005302
Algeria,DZA,63.48882487
East Asia & Pacific (excluding high income),EAP,70.00494974
Early-demographic dividend,EAR,65.28462357
East Asia & Pacific,EAS,69.48809496
Europe & Central Asia (excluding high income),ECA,66.91393605
Europe & Central Asia,ECS,65.63605255
Ecuador,ECU,64.81411827
"Egypt, Arab Rep.",EGY,60.97149994
Euro area,EMU,64.3315955
Eritrea,ERI,
Spain,ESP,65.95449137
Estonia,EST,64.01656941
Ethiopia,ETH,55.7158851
European Union,EUU,64.68886333
Fragile and conflict affected situations,FCS,55.64120723
Finland,FIN,62.13402948
Fiji,FJI,65.03769739
France,FRA,62.00891081
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,64.29598722
Gabon,GAB,59.41022284
United Kingdom,GBR,63.92605226
Georgia,GEO,65.33926797
Ghana,GHA,59.33504041
Gibraltar,GIB,
Guinea,GIN,53.22380421
"Gambia, The",GMB,53.141274
Guinea-Bissau,GNB,54.83713146
Equatorial Guinea,GNQ,60.42552379
Greece,GRC,64.27348306
Grenada,GRD,66.81680334
Greenland,GRL,
Guatemala,GTM,60.7525321
Guam,GUM,65.68638097
Guyana,GUY,65.33518355
High income,HIC,65.54448938
"Hong Kong SAR, China",HKG,71.2240546
Honduras,HND,63.56850081
Heavily indebted poor countries (HIPC),HPC,54.11553089
Croatia,HRV,65.04262698
Haiti,HTI,61.80835189
Hungary,HUN,66.4302824
IBRD only,IBD,67.93499434
IDA & IBRD total,IBT,65.29225752
IDA total,IDA,57.59400532
IDA blend,IDB,57.75720147
Indonesia,IDN,67.59163708
IDA only,IDX,57.51021929
Isle of Man,IMN,
India,IND,66.7667425
Not classified,INX,
Ireland,IRL,64.72777871
"Iran, Islamic Rep.",IRN,69.33886753
Iraq,IRQ,58.28983494
Iceland,ISL,65.37258734
Israel,ISR,60.09776752
Italy,ITA,63.91920431
Jamaica,JAM,67.45326077
Jordan,JOR,61.90801939
Japan,JPN,59.72678128
Kazakhstan,KAZ,64.14760395
Kenya,KEN,57.87864645
Kyrgyz Republic,KGZ,63.15485491
Cambodia,KHM,64.22990522
Kiribati,KIR,60.50739337
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,72.60812059
Kuwait,KWT,75.91063957
Latin America & Caribbean (excluding high income),LAC,66.99239321
Lao PDR,LAO,63.32093135
Lebanon,LBN,66.9017647
Liberia,LBR,55.62158161
Libya,LBY,67.28872201
St. Lucia,LCA,71.66458664
Latin America & Caribbean,LCN,67.00809265
Least developed countries: UN classification,LDC,57.02638841
Low income,LIC,54.81972624
Liechtenstein,LIE,
Sri Lanka,LKA,65.32977922
Lower middle income,LMC,64.29084934
Low & middle income,LMY,65.29075529
Lesotho,LSO,62.38256097
Late-demographic dividend,LTE,70.2609934
Lithuania,LTU,65.41254234
Luxembourg,LUX,69.93802183
Latvia,LVA,63.96060274
"Macao SAR, China",MAC,75.86173049
St. Martin (French part),MAF,
Morocco,MAR,65.78071505
Monaco,MCO,
Moldova,MDA,72.6703528
Madagascar,MDG,56.34513228
Maldives,MDV,76.14873879
Middle East & North Africa,MEA,64.93157649
Mexico,MEX,66.21946683
Marshall Islands,MHL,
Middle income,MIC,66.59199085
North Macedonia,MKD,69.81281899
Mali,MLI,49.94928385
Malta,MLT,65.37377518
Myanmar,MMR,67.84430978
Middle East & North Africa (excluding high income),MNA,63.51351932
Montenegro,MNE,66.81554422
Mongolia,MNG,65.50689291
Northern Mariana Islands,MNP,
Mozambique,MOZ,52.43843539
Mauritania,MRT,56.77570502
Mauritius,MUS,70.73213461
Malawi,MWI,53.45227916
Malaysia,MYS,69.33310429
North America,NAC,65.62722033
Namibia,NAM,59.45371913
New Caledonia,NCL,68.08491641
Niger,NER,47.42066751
Nigeria,NGA,53.38598302
Nicaragua,NIC,64.55082135
Netherlands,NLD,64.69564866
Norway,NOR,65.40173947
Nepal,NPL,63.8580639
Nauru,NRU,
New Zealand,NZL,64.69414402
OECD members,OED,65.05445517
Oman,OMN,75.36070706
Other small states,OSS,64.56829948
Pakistan,PAK,60.41741109
Panama,PAN,64.8329646
Peru,PER,66.12100436
Philippines,PHL,63.91439103
Palau,PLW,
Papua New Guinea,PNG,60.73879635
Poland,POL,67.42990642
Pre-demographic dividend,PRE,53.49433526
Puerto Rico,PRI,64.48906368
"Korea, Dem. People’s Rep.",PRK,70.46336609
Portugal,PRT,64.58823464
Paraguay,PRY,64.12927939
West Bank and Gaza,PSE,57.91933298
Pacific island small states,PSS,60.42612785
Post-demographic dividend,PST,64.95424441
French Polynesia,PYF,68.94759777
Qatar,QAT,85.08916548
Romania,ROU,66.12674365
Russian Federation,RUS,67.4112111
Rwanda,RWA,57.0862309
South Asia,SAS,65.74309191
Saudi Arabia,SAU,71.64306385
Sudan,SDN,55.91004761
Senegal,SEN,53.85774593
Singapore,SGP,76.25833717
Solomon Islands,SLB,56.15946524
Sierra Leone,SLE,55.97380444
El Salvador,SLV,64.58082908
San Marino,SMR,
Somalia,SOM,50.55010499
Serbia,SRB,65.96452656
Sub-Saharan Africa (excluding high income),SSA,54.47259909
South Sudan,SSD,54.78139569
Sub-Saharan Africa,SSF,54.47388208
Small states,SST,64.85053347
Sao Tome and Principe,STP,54.55437193
Suriname,SUR,65.92336673
Slovak Republic,SVK,68.92461673
Slovenia,SVN,65.3713453
Sweden,SWE,62.32268961
Eswatini,SWZ,57.87292052
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,68.77008322
Syrian Arab Republic,SYR,64.07533477
Turks and Caicos Islands,TCA,
Chad,TCD,50.39318107
East Asia & Pacific (IDA & IBRD countries),TEA,69.99925292
Europe & Central Asia (IDA & IBRD countries),TEC,66.94001194
Togo,TGO,55.79600849
Thailand,THA,71.01211804
Tajikistan,TJK,60.19382837
Turkmenistan,TKM,64.7510016
Latin America & the Caribbean (IDA & IBRD countries),TLA,66.99153305
Timor-Leste,TLS,57.90284343
Middle East & North Africa (IDA & IBRD countries),TMN,63.58108067
Tonga,TON,58.63058035
South Asia (IDA & IBRD),TSA,65.74309191
Sub-Saharan Africa (IDA & IBRD countries),TSS,54.47388208
Trinidad and Tobago,TTO,68.84547391
Tunisia,TUN,67.51420057
Turkey,TUR,66.86737692
Tuvalu,TUV,
Tanzania,TZA,53.30046267
Uganda,UGA,51.1284879
Ukraine,UKR,67.75290039
Upper middle income,UMC,69.21340446
Uruguay,URY,64.57749939
United States,USA,65.48330596
Uzbekistan,UZB,66.89480471
St. Vincent and the Grenadines,VCT,67.86890601
"Venezuela, RB",VEN,65.0663628
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,60.99828047
Vietnam,VNM,69.55234487
Vanuatu,VUT,57.51161678
World,WLD,65.33118151
Samoa,WSM,56.87889093
Kosovo,XKX,
"Yemen, Rep.",YEM,57.50883997
South Africa,ZAF,65.60250585
Zambia,ZMB,52.96418082
Zimbabwe,ZWE,54.65941011