Country Name,Country Code,SP.URB.TOTL.IN.ZS_2018
Aruba,ABW,43.411
Afghanistan,AFG,25.495
Angola,AGO,65.514
Albania,ALB,60.319
Andorra,AND,88.062
Arab World,ARB,58.92541859
United Arab Emirates,ARE,86.522
Argentina,ARG,91.87
Armenia,ARM,63.149
American Samoa,ASM,87.153
Antigua and Barbuda,ATG,24.599
Australia,AUS,86.012
Austria,AUT,58.297
Azerbaijan,AZE,55.68
Burundi,BDI,13.032
Belgium,BEL,98.001
Benin,BEN,47.312
Burkina Faso,BFA,29.358
Bangladesh,BGD,36.632
Bulgaria,BGR,75.008
Bahrain,BHR,89.287
"Bahamas, The",BHS,83.025
Bosnia and Herzegovina,BIH,48.245
Belarus,BLR,78.595
Belize,BLZ,45.724
Bermuda,BMU,100
Bolivia,BOL,69.425
Brazil,BRA,86.569
Barbados,BRB,31.147
Brunei Darussalam,BRN,77.629
Bhutan,BTN,40.895
Botswana,BWA,69.446
Central African Republic,CAF,41.364
Canada,CAN,81.411
Central Europe and the Baltics,CEB,62.33207606
Switzerland,CHE,73.797
Channel Islands,CHI,30.914
Chile,CHL,87.564
China,CHN,59.152
Cote d'Ivoire,CIV,50.779
Cameroon,CMR,56.374
"Congo, Dem. Rep.",COD,44.46
"Congo, Rep.",COG,66.916
Colombia,COL,80.778
Comoros,COM,28.965
Cabo Verde,CPV,65.732
Costa Rica,CRI,79.34
Caribbean small states,CSS,51.19936158
Cuba,CUB,77.037
Curacao,CUW,89.145
Cayman Islands,CYM,100
Cyprus,CYP,66.81
Czech Republic,CZE,73.792
Germany,DEU,77.312
Djibouti,DJI,77.777
Dominica,DMA,70.483
Denmark,DNK,87.874
Dominican Republic,DOM,81.074
Algeria,DZA,72.629
East Asia & Pacific (excluding high income),EAP,55.63358824
Early-demographic dividend,EAR,45.1312567
East Asia & Pacific,EAS,59.05278867
Europe & Central Asia (excluding high income),ECA,66.94738051
Europe & Central Asia,ECS,72.1835105
Ecuador,ECU,63.821
"Egypt, Arab Rep.",EGY,42.704
Euro area,EMU,76.99173271
Eritrea,ERI,
Spain,ESP,80.321
Estonia,EST,68.88
Ethiopia,ETH,20.763
European Union,EUU,74.51569907
Fragile and conflict affected situations,FCS,44.93662096
Finland,FIN,85.382
Fiji,FJI,56.248
France,FRA,80.444
Faroe Islands,FRO,42.064
"Micronesia, Fed. Sts.",FSM,22.703
Gabon,GAB,89.37
United Kingdom,GBR,83.398
Georgia,GEO,58.632
Ghana,GHA,56.06
Gibraltar,GIB,100
Guinea,GIN,36.14
"Gambia, The",GMB,61.27
Guinea-Bissau,GNB,43.36
Equatorial Guinea,GNQ,72.143
Greece,GRC,79.058
Grenada,GRD,36.272
Greenland,GRL,86.816
Guatemala,GTM,51.054
Guam,GUM,94.78
Guyana,GUY,26.606
High income,HIC,81.33497836
"Hong Kong SAR, China",HKG,100
Honduras,HND,57.096
Heavily indebted poor countries (HIPC),HPC,36.00846526
Croatia,HRV,56.947
Haiti,HTI,55.278
Hungary,HUN,71.351
IBRD only,IBD,55.012428
IDA & IBRD total,IBT,50.42220177
IDA total,IDA,37.05186506
IDA blend,IDB,42.38042502
Indonesia,IDN,55.325
IDA only,IDX,34.31596992
Isle of Man,IMN,52.588
India,IND,34.03
Not classified,INX,
Ireland,IRL,63.17
"Iran, Islamic Rep.",IRN,74.898
Iraq,IRQ,70.473
Iceland,ISL,93.813
Israel,ISR,92.418
Italy,ITA,70.438
Jamaica,JAM,55.674
Jordan,JOR,90.979
Japan,JPN,91.616
Kazakhstan,KAZ,57.428
Kenya,KEN,27.03
Kyrgyz Republic,KGZ,36.351
Cambodia,KHM,23.388
Kiribati,KIR,54.057
St. Kitts and Nevis,KNA,30.776
"Korea, Rep.",KOR,81.459
Kuwait,KWT,100
Latin America & Caribbean (excluding high income),LAC,80.4016256
Lao PDR,LAO,35.004
Lebanon,LBN,88.593
Liberia,LBR,51.151
Libya,LBY,80.102
St. Lucia,LCA,18.678
Latin America & Caribbean,LCN,80.58329099
Least developed countries: UN classification,LDC,33.56806008
Low income,LIC,32.57220389
Liechtenstein,LIE,14.338
Sri Lanka,LKA,18.476
Lower middle income,LMC,40.50788978
Low & middle income,LMY,50.32784424
Lesotho,LSO,28.153
Late-demographic dividend,LTE,62.44509902
Lithuania,LTU,67.679
Luxembourg,LUX,90.981
Latvia,LVA,68.142
"Macao SAR, China",MAC,100
St. Martin (French part),MAF,
Morocco,MAR,62.453
Monaco,MCO,100
Moldova,MDA,42.629
Madagascar,MDG,37.191
Maldives,MDV,39.808
Middle East & North Africa,MEA,65.37197432
Mexico,MEX,80.156
Marshall Islands,MHL,77.031
Middle income,MIC,52.53425747
North Macedonia,MKD,57.963
Mali,MLI,42.356
Malta,MLT,94.612
Myanmar,MMR,30.579
Middle East & North Africa (excluding high income),MNA,61.59054752
Montenegro,MNE,66.813
Mongolia,MNG,68.445
Northern Mariana Islands,MNP,91.618
Mozambique,MOZ,35.988
Mauritania,MRT,53.672
Mauritius,MUS,40.793
Malawi,MWI,16.937
Malaysia,MYS,76.036
North America,NAC,82.17315484
Namibia,NAM,50.032
New Caledonia,NCL,70.683
Niger,NER,16.425
Nigeria,NGA,50.344
Nicaragua,NIC,58.522
Netherlands,NLD,91.49
Norway,NOR,82.248
Nepal,NPL,19.74
Nauru,NRU,100
New Zealand,NZL,86.538
OECD members,OED,80.59330757
Oman,OMN,84.539
Other small states,OSS,62.11803815
Pakistan,PAK,36.666
Panama,PAN,67.709
Peru,PER,77.907
Philippines,PHL,46.907
Palau,PLW,79.93
Papua New Guinea,PNG,13.169
Poland,POL,60.058
Pre-demographic dividend,PRE,41.22695151
Puerto Rico,PRI,93.578
"Korea, Dem. People’s Rep.",PRK,61.899
Portugal,PRT,65.211
Paraguay,PRY,61.585
West Bank and Gaza,PSE,76.164
Pacific island small states,PSS,38.78134412
Post-demographic dividend,PST,81.28069478
French Polynesia,PYF,61.834
Qatar,QAT,99.135
Romania,ROU,53.998
Russian Federation,RUS,74.433
Rwanda,RWA,17.211
South Asia,SAS,33.99236125
Saudi Arabia,SAU,83.844
Sudan,SDN,34.642
Senegal,SEN,47.192
Singapore,SGP,100
Solomon Islands,SLB,23.749
Sierra Leone,SLE,42.055
El Salvador,SLV,72.023
San Marino,SMR,97.226
Somalia,SOM,44.971
Serbia,SRB,56.092
Sub-Saharan Africa (excluding high income),SSA,40.17534134
South Sudan,SSD,19.615
Sub-Saharan Africa,SSF,40.17682337
Small states,SST,58.72442407
Sao Tome and Principe,STP,72.803
Suriname,SUR,66.06
Slovak Republic,SVK,53.726
Slovenia,SVN,54.541
Sweden,SWE,87.431
Eswatini,SWZ,23.799
Sint Maarten (Dutch part),SXM,100
Seychelles,SYC,56.691
Syrian Arab Republic,SYR,54.162
Turks and Caicos Islands,TCA,93.098
Chad,TCD,23.059
East Asia & Pacific (IDA & IBRD countries),TEA,55.55509202
Europe & Central Asia (IDA & IBRD countries),TEC,66.28683231
Togo,TGO,41.702
Thailand,THA,49.949
Tajikistan,TJK,27.134
Turkmenistan,TKM,51.593
Latin America & the Caribbean (IDA & IBRD countries),TLA,80.60141232
Timor-Leste,TLS,30.578
Middle East & North Africa (IDA & IBRD countries),TMN,61.414543
Tonga,TON,23.131
South Asia (IDA & IBRD),TSA,33.99236125
Sub-Saharan Africa (IDA & IBRD countries),TSS,40.17682337
Trinidad and Tobago,TTO,53.184
Tunisia,TUN,68.945
Turkey,TUR,75.143
Tuvalu,TUV,62.387
Tanzania,TZA,33.776
Uganda,UGA,23.774
Ukraine,UKR,69.352
Upper middle income,UMC,66.2333683
Uruguay,URY,95.334
United States,USA,82.256
Uzbekistan,UZB,50.478
St. Vincent and the Grenadines,VCT,52.198
"Venezuela, RB",VEN,88.208
British Virgin Islands,VGB,47.723
Virgin Islands (U.S.),VIR,95.721
Vietnam,VNM,35.919
Vanuatu,VUT,25.274
World,WLD,55.27057855
Samoa,WSM,18.243
Kosovo,XKX,
"Yemen, Rep.",YEM,36.642
South Africa,ZAF,66.355
Zambia,ZMB,43.521
Zimbabwe,ZWE,32.209