"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6","","","","","","","","9.6","","","","","","","","","","21.4","",
"Albania","ALB","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","","","","","","0.4","","","0.2","","","0.1","","","","0.2","","0.3","0.2","0.2","0.3","","",
"Andorra","AND","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","",
"Argentina","ARG","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","0.2","","","","","","0","0","","","","0.7","1.2","1.2","1.5","2.4","2.9","2.4","2.3","2.5","2.9","4.9","5.6","2.6","1.7","1.3","1.3","1.1","1.1","1.1","0.9","0.3","0.3","0.3","0.3","","0.3","0.2","0.4","",
"Armenia","ARM","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","","4.4","3.2","2","1.8","0.9","0.6","0.5","0.3","0.3","0.3","0.3","0.3","0.5","0.4","0.4","0.3","0.2","0.4","",
"American Samoa","ASM","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","0.5","","","","0.6","","","","0.4","","","","","","0.6","","","","","","0.6","","0.8","0.4","","","","0.3","","0.3","","","","0.4","","","","","",
"Austria","AUT","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","0.2","1","","0.2","","","0","","","0.3","0.1","0.1","0","0.3","0.2","0.5","0.4","0.3","0.4","0.2","0.1","0.6","0.6","0.2","","",
"Azerbaijan","AZE","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","","","","","","0.5","0","0","0","0","","","","","","","","","","","","","","",
"Burundi","BDI","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8","","","","","","44.8","","","","","","","","32.9","","","","","","","30.4","","","","","","",
"Belgium","BEL","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","","","0.5","","","","0.8","","","0.4","","0.3","","","0.3","","","0.2","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","","",
"Benin","BEN","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2","","","","","","","","19","","","","22.4","","","","",
"Burkina Faso","BFA","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.4","","","","43","","","","","23.7","","","","","","19.9","","","","","11.1","","","","","",
"Bangladesh","BGD","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","7.1","","4.8","","","9.1","","","11.3","","","","8.2","","","","","8","","","","","5.1","","","","","3.6","","","","","","2.7","","","",
"Bulgaria","BGR","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","2.6","0.6","0.4","0.3","0.6","0.9","0.8","0.7","0.5","1.4","0.7","0.4","","",
"Bahrain","BHR","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","","0.1","","","0","","","","0","","","","","","","","",
"Belarus","BLR","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","2.6","1.7","0.7","0.5","0.3","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Belize","BLZ","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4.5","","5.6","7.7","5.8","6.1","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","","","","","10","","15.3","17.6","12.3","13.4","","6","9.9","8","6","5","5","","3.1","4","3.1","2.6","2.8","3","2.5","1.7","",
"Brazil","BRA","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","8.6","8.7","11.3","10.6","9","4.1","7.2","8.6","7.7","8.7","","9.1","8.6","","5.3","6.1","6","5.2","5.4","","4.6","3.9","4.3","3.6","3.2","2.7","2.8","2.2","2.1","","1.9","1.4","1","0.9","1.1","1.4","1.6","1.7","",
"Barbados","BRB","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","","","","1.6","","","","","0.4","","","","","0.2","","",
"Botswana","BWA","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","17.9","","","","","","","","13.5","","","","","","","","","11.4","","","","","","","5.8","","","","","","4.3","","","","",
"Central African Republic","CAF","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.8","","","","","","","","","","","30.3","","","","","33.1","","","","","","","","","","","",
"Canada","CAN","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","1.6","","","","0.7","","","","","","0.4","","","","","","0.1","","","","0.1","","","0.2","","","0.2","0.2","","0.1","","","","0.1","","","0.1","","","0.1","","","0.1","","","","","","",
"Central Europe and the Baltics","CEB","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","0.6","","","","","","","","","","0.5","","","","","","","","0","","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Channel Islands","CHI","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","","","2.8","","1.5","","1.9","","1.2","","1.3","","1.8","","","1.8","","","0.5","","","0.5","","0.2","","0.2","","0.1","","0.2","","",
"China","CHN","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1","","","20.3","","","12.9","","","13.1","","","10.1","","","4.8","","","3.9","","2.7","1.8","1.4","0.4","0.3","0.2","0.1","","","",
"Cote d'Ivoire","CIV","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","0.6","1.6","2.6","","","","6.7","","","4.7","","","7.6","","","","7.1","","","","","","10.4","","","","","","","9.1","","","","",
"Cameroon","CMR","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3","","","","","6.1","","","","","","8.3","","","","","","","7.6","","","","","",
"Congo, Dem. Rep.","COD","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.6","","","","","","","","38.6","","","","","","","",
"Congo, Rep.","COG","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1","","","","","","14.9","","","","","","","","",
"Colombia","COL","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","","","","9.1","","","11","11","10.2","5.4","4.5","3.6","3.3","","","4.3","3.4","2.9","2.3","2.3","2.2","2","1.8","1.8","1.6","1.7","",
"Comoros","COM","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","","","","","","","","","","6","","","","","",
"Cabo Verde","CPV","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.6","","","","","","1.8","","","","","","","","0.7","","","","",
"Costa Rica","CRI","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","10.8","","","","","5.7","","","7.4","5.3","5.7","4.8","4.6","3.5","3.7","4.2","3.1","2.4","3","3.2","2.2","2.1","1.9","1.7","1.1","1.2","0.7","0.9","1.1","0.7","0.6","0.6","0.6","0.6","0.6","0.5","0.4","0.5","",
"Caribbean small states","CSS","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0","0","0","0","0.1","0","0","0","0","0.1","0","0","0","","",
"Czech Republic","CZE","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","0","","","","","","0","","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","","",
"Germany","DEU","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.1","0.2","","","0","","0","0","0","0","0","0","0","0","0.1","0","0","0","","0","","0","0","","","",
"Djibouti","DJI","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","7.9","7.6","","","","5.7","","",
"Dominica","DMA","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","","0.5","","","0","","","","","0","","","0.2","0.2","0.1","0","0","0.1","0.1","0","0","0","0.3","0.1","0.1","0.2","0.1","","",
"Dominican Republic","DOM","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","","","3.4","","","1.5","","","","1.9","2","","","1.8","1.1","1.9","2.2","2.7","1.7","1.2","1.2","1","0.8","0.6","0.7","0.7","0.5","0.5","0.5","0.5","0.3","0.1","",
"Algeria","DZA","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","","","","","","","1.1","","","","","","","","","","","","","","","","0.2","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","38.2","","","27.2","","","21.6","","","22.4","","","19.3","","","12.9","","","12.3","","","9.1","","","4.8","","","3.8","","2.5","1.8","1.5","0.7","","0.5","","","0.3","",
"Europe & Central Asia (excluding high income)","ECA","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","","","2.3","","","2.4","","","1.7","","","1.4","","","0.8","","0.7","0.6","0.6","0.4","","0.4","","","0.4","",
"Ecuador","ECU","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7","","","","","9.8","11.7","","","5.6","6.2","4.5","2.8","3.1","2.9","2.5","1.9","1.8","1.5","1","0.8","1.2","1.2","1.1","1","",
"Egypt, Arab Rep.","EGY","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","","","","","0.6","","","","0.3","","","","","0.6","","","","0.6","","0.2","","0.2","","","0.2","","0.5","","",
"Euro area","EMU","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","0.2","","","","","0","","","","","0.3","","","","","0.8","","","","","0.2","","","0.6","0.6","0.6","0.6","0.3","0.4","0.6","0.5","0.9","0.6","0.8","0.5","0.6","0.7","0.5","","",
"Estonia","EST","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","","","","","","","1.3","0.6","0.3","0.5","0.3","0.2","0.3","0.4","0.6","0.4","0.6","0.5","0.4","0.3","0.2","","",
"Ethiopia","ETH","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5","","","","19","","","","","8.7","","","","","","9","","","","","8.9","","","","",
"European Union","EUU","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","27.6","","","28.1","","","27.7","","","28.6","","","31.1","","","29.7","","","27.7","","","25","","","21.6","","","18.4","","16.9","16.2","15.2","14.6","","14.2","","","15.3","",
"Finland","FIN","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","0","","","","","0","","","0","0","0","0.1","0","0","0","0","0","0","0.1","0","0.1","0","0.1","","",
"Fiji","FJI","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","","","","","","0.6","","","","","0.2","","","","","","",
"France","FRA","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","0.6","","","","","","1.1","","","","","0.8","","","","","0","","","","","","0","","","0.1","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0","","",
"Faroe Islands","FRO","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","","","","","","","","5.5","","","","","","",
"Gabon","GAB","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","","","","","","","","","","","","0.8","","",
"United Kingdom","GBR","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","0.1","","","","","0.1","","","","","0.1","","","","","","","0.5","","","","","0.1","","","0.2","0.5","","","","0.1","","","","","0.2","0.3","0.1","0.2","0.2","0.1","0.1","0.3","0.1","0.1","0.1","0.1","0.1","","","",
"Georgia","GEO","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5.7","5.4","6.5","7","6.6","3.1","3.3","3.1","3.3","3.2","3.4","3","3","3.7","3.6","2.4","1.6","1.3","0.9","1","1.3","1.2","",
"Ghana","GHA","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3","13.8","","","17.7","","","","","","","12.3","","","","","","","8.2","","","","","","","3.5","","","","4.7","","","",
"Gibraltar","GIB","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.9","","","19.5","","","","","","","","26.6","","","","","23.7","","","","","10.3","","","","","","","",
"Gambia, The","GMB","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","","","","17.7","","","","","","","7.4","","","","","2.2","","","","",
"Guinea-Bissau","GNB","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7","","28.4","","","","","","","","","18.6","","","","","","","","30.5","","","","","","","","","",
